Ticker,Company Name,Market Cap,Website
AEE,Ameren Corporation Common Stock,22705393664,https://www.ameren.com
AEG,AEGON N.V. Common Stock,9781155840,https://www.aegon.com
AEH,AEGON N.V. Perp. Cap Secs.,52474613760,
AEK,Aegon NV 8.00% Non,,
AEL,American Equity Investment Life Holding Company Common Stock,3644106752,https://www.american-equity.com
AEM,Agnico Eagle Mines Limited Common Stock,12196775936,https://www.agnicoeagle.com
AEO,"American Eagle Outfitters, Inc. Common Stock",2664227584,https://www.aeo-inc.com
AEP,"American Electric Power Company, Inc. Common Stock",47221579776,https://www.aep.com
AER,Aercap Holdings N.V. Ordinary Shares,14675658752,https://www.aercap.com
AES,The AES Corporation Common Stock,18988013568,https://www.aes.com
AET,Aetna Inc. Common Stock,,
AF,Astoria Financial Corporation Common Stock,,
AFA,"American Financial Group, Inc. 5.75% Senior Notes due 2042",,
